p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,strat_money
1527,鑫元安鑫宝货币B,2019-01-17,0.6349,2.696,2.7972,3.6587,3.5332,0.3018,0.7707,1.5502,3.5437,100
150988,银河钱包货币A,2019-01-17,0.736,2.672,2.8003,3.2319,3.1553,0.2681,0.7363,1.4941,3.544,100
4152,先锋日添利B,2019-01-17,0.7477,2.833,2.8986,3.2066,3.3943,0.2895,0.7462,1.4767,3.5457,5000000
1991,农银天天利货币A,2019-01-17,0.7102,2.572,3.1109,3.8265,3.5858,0.3099,0.7661,1.5938,3.5457,100
1843,九泰日添金货币B,2019-01-17,0.649,2.404,2.6113,2.9985,2.9586,0.2525,0.6802,1.5114,3.5478,5000000
4286,华富天盈货币B,2019-01-17,2.0086,3.723,3.549,3.6785,3.412,0.296,0.7984,1.535,3.549,5000000
4983,鹏扬现金通利货币A,2019-01-17,0.7245,2.633,2.6766,2.8048,2.7673,0.2334,0.6843,1.4614,3.5501,100
519512,万家日日薪货币B,2019-01-17,0.5764,2.495,3.1864,3.4356,3.2478,0.2852,0.694,1.5072,3.5502,5000000
40038,华安日日鑫货币A,2019-01-17,0.7498,2.824,2.8643,2.8372,2.8289,0.2377,0.7096,1.4993,3.5532,100
627,大成丰财宝货币B,2019-01-17,0.7568,2.812,2.8945,3.5076,3.372,0.2886,0.7349,1.4962,3.5542,5000000
675032,西部利得天添鑫货币B,2019-01-17,0.743,2.866,3.1759,3.5112,3.4317,0.2902,0.7493,1.5388,3.556,5000000
211,光大现金宝货币B,2019-01-17,0.7316,2.798,2.8948,3.4617,3.3818,0.29,0.751,1.5266,3.5585,5000000
1232,嘉合货币A,2019-01-17,0.6602,2.372,2.4342,3.7418,3.4997,0.3018,0.7332,1.4888,3.562,200
202301,南方现金增利货币A,2019-01-17,0.7224,2.732,2.7776,2.8473,2.8461,0.2424,0.697,1.5115,3.5653,100
3317,中银证券现金管家货币B,2019-01-17,0.7725,2.895,2.9825,3.14,3.0079,0.258,0.7185,1.5476,3.5684,5000000
4568,长城工资宝货币B,2019-01-17,0.6956,2.598,2.8253,3.0052,2.9284,0.2463,0.6871,1.4612,3.5687,5000000
907,农银红利日结货币A,2019-01-17,0.7845,2.933,2.9552,2.9955,2.9599,0.2495,0.7233,1.5491,3.5697,100
5057,东方红货币B,2019-01-17,0.7954,2.99,3.331,3.6195,3.5536,0.3009,0.7426,1.4885,3.5753,5000000
475,广发天天利货币A,2019-01-17,0.7528,2.861,2.9301,2.9772,2.9703,0.2489,0.6876,1.4752,3.5758,100
70008,嘉实货币A,2019-01-17,0.7861,2.941,3.0378,2.9968,2.9802,0.251,0.744,1.5737,3.5764,100
162206,泰达宏利货币A,2019-01-17,0.3423,2.064,1.9245,4.3301,4.2224,0.3794,0.8095,1.5243,3.5773,100
91005,大成货币B,2019-01-17,0.7238,2.642,2.8229,3.3703,3.3724,0.2751,0.7246,1.5337,3.58,10000000
3711,泰达宏利京元宝货币A,2019-01-17,0.7612,2.856,2.9804,3.2569,3.2252,0.2753,0.7321,1.5009,3.5802,100
1981,富国收益宝交易型货币A,2019-01-17,0.7246,2.579,2.5787,2.8467,2.8484,0.2389,0.6929,1.497,3.5821,100
1987,东方金元宝货币,2019-01-17,0.4699,2.256,3.2832,3.3439,3.4628,0.2762,0.7739,1.533,3.5821,100
4261,招商招禧宝货币A,2019-01-17,0.744,2.909,3.1682,3.3374,3.1895,0.2736,0.7528,1.5909,3.5842,100
4869,中融日日盈交易型货币B,2019-01-17,0.6938,2.55,2.8601,3.6647,3.4051,0.2942,0.8148,1.6547,3.5865,100
3875,浙商日添金货币B,2019-01-17,0.7685,2.883,2.9094,3.047,3.0017,0.2539,0.7052,1.5238,3.5917,5000000
726,大成添利宝货币E,2019-01-17,0.7855,2.929,2.9081,2.9022,2.9023,0.2434,0.6997,1.5324,3.5949,100
3267,新华壹诺宝货币B,2019-01-17,0.7443,3.922,3.3963,3.1522,3.0598,0.2609,0.7522,1.5502,3.6029,5000000
660007,农银货币A,2019-01-17,0.6872,2.949,3.0489,3.1653,3.1467,0.2668,0.7506,1.5865,3.6093,100
750007,安信现金管理货币B,2019-01-17,0.7331,2.697,2.7489,3.0371,3.1308,0.2552,0.73,1.5383,3.6107,5000000
213909,宝盈货币B,2019-01-17,0.735,3.044,3.1074,3.2259,3.1367,0.2645,0.7356,1.5273,3.6112,5000000
1077,华夏现金宝货币A,2019-01-17,0.7481,2.87,2.9766,2.9359,2.9263,0.2467,0.7625,1.5489,3.6128,100
2673,诺德货币B,2019-01-17,0.7066,2.589,2.7682,3.0127,2.9838,0.2602,0.7053,1.5056,3.613,3000000
1477,泰康薪意保货币A,2019-01-17,0.7122,2.781,3.0932,3.2593,3.1595,0.2686,0.7236,1.5432,3.6147,100
519518,汇添富货币A,2019-01-17,0.7723,2.84,2.9153,3.1327,3.1083,0.2623,0.7455,1.5763,3.6155,100
519506,海富通货币B,2019-01-17,0.8079,2.836,2.9014,3.0717,3.0762,0.2636,0.7435,1.5421,3.6158,5000000
379,平安日增利货币,2019-01-17,0.7745,2.943,2.9895,2.9735,2.9704,0.2486,0.7402,1.5936,3.6162,100
163820,中银货币B,2019-01-17,0.6111,2.232,2.9348,3.6404,3.3824,0.2989,0.7091,1.5221,3.6164,5000000
2760,东兴安盈宝B,2019-01-17,0.7906,2.932,3.0632,3.2634,3.1813,0.2759,0.7416,1.5618,3.6184,5000000
509,广发钱袋子货币A,2019-01-17,0.7389,2.657,2.8226,3.1058,3.1412,0.2627,0.7373,1.5509,3.6197,100
4077,金信民发货币A,2019-01-17,0.7187,2.574,2.7332,4.0095,3.7273,0.3235,0.7804,1.5744,3.6206,100
420106,天弘现金管家货币B,2019-01-17,0.8154,3.104,3.1225,3.1352,3.1286,0.2592,0.7732,1.5061,3.6221,5000000
3229,浦银安盛日日鑫货币B,2019-01-17,0.7381,2.773,2.8237,3.1618,3.1308,0.264,0.7381,1.5214,3.6231,5000000
392001,中海货币A,2019-01-17,0.6454,2.319,2.4221,3.3411,3.2877,0.273,0.761,1.5366,3.6235,100
690010,民生加银现金增利货币A,2019-01-17,0.71,2.573,2.6917,3.217,3.0882,0.2648,0.7202,1.5726,3.6237,100
604,银华多利宝货币A,2019-01-17,0.7561,2.842,2.9026,3.1089,3.0563,0.2584,0.7171,1.558,3.6244,100
1625,兴业添天盈货币B,2019-01-17,0.6082,2.612,2.8995,3.2581,3.0675,0.2632,0.7382,1.5463,3.6264,5000000
1937,兴银现金增利货币,2019-01-17,0.7814,2.854,2.9866,3.3639,3.2511,0.2773,0.7341,1.5188,3.6301,100
2185,泓德泓利货币B,2019-01-17,0.721,2.592,2.6109,3.5053,3.3804,0.2903,0.7491,1.5283,3.6375,5000000
150998,银河钱包货币B,2019-01-17,0.763,2.766,2.9018,3.3285,3.2499,0.276,0.7595,1.5406,3.6379,5000000
3423,国寿安保添利货币B,2019-01-17,0.7372,2.649,2.7092,2.9539,2.9245,0.2464,0.7062,1.4943,3.6379,5000000
4179,圆信永丰丰润货币B,2019-01-17,0.3249,1.917,2.4892,3.2371,3.2156,0.2757,0.7245,1.5313,3.6398,100
2710,红塔红土人人宝货币B,2019-01-17,0.7899,2.895,3.0092,2.9651,2.9482,0.2479,0.7318,1.5199,3.6398,5000000
4866,格林货币B,2019-01-17,0.7465,2.742,2.8255,3.6141,3.5318,0.2953,0.8068,1.5236,3.6417,5000000
740602,长安货币B,2019-01-17,0.7491,2.67,2.923,3.3481,3.3369,0.281,0.761,1.5285,3.6443,5000000
872,北信瑞丰宜投宝B,2019-01-17,0.888,3.136,3.1153,3.2408,3.1551,0.2659,0.7373,1.5796,3.6445,5000000
902,国开货币B,2019-01-17,0.6619,2.451,2.7869,2.856,2.7706,0.2396,0.7015,1.5505,3.6454,5000000
200103,长城货币B,2019-01-17,0.8754,3.096,3.1159,3.2576,3.2331,0.2741,0.7498,1.5665,3.6487,5000000
3515,国泰利是宝货币,2019-01-17,0.7819,2.866,2.8492,2.8893,2.8937,0.243,0.7101,1.5285,3.6514,100
4216,兴业安润货币A,2019-01-17,0.7765,2.855,2.912,2.9751,2.961,0.2489,0.7185,1.5582,3.6519,100
9,易方达天天理财货币A,2019-01-17,0.796,2.988,3.0884,3.0551,3.0124,0.2543,0.7461,1.5987,3.6561,10
883,中金现金管家B,2019-01-17,0.3272,3.61,3.2107,3.302,3.2187,0.2748,0.7409,1.5553,3.6596,5000000
3468,富荣货币B,2019-01-17,0.5154,2.073,2.2578,3.1615,3.1047,0.263,0.7454,1.5527,3.6602,5000000
4939,中欧滚钱宝货币C,2019-01-17,0.7896,2.939,2.9756,2.9796,2.9593,0.2489,0.7321,1.5688,3.6629,100
519507,万家货币B,2019-01-17,0.7812,2.886,2.9732,3.332,3.3221,0.2875,0.782,1.6642,3.6653,5000000
4904,人保货币B,2019-01-17,0.8084,3.054,3.1419,3.3314,3.2304,0.2751,0.7507,1.5281,3.6653,5000000
530002,建信货币A,2019-01-17,0.7106,3.535,3.2546,3.4489,3.3056,0.2827,0.7521,1.5744,3.6664,100
210012,金鹰货币A,2019-01-17,0.8758,2.96,3.1827,3.5368,3.4568,0.3065,0.7687,1.5874,3.6665,100
5230,长盛货币B,2019-01-17,0.7748,2.854,2.8501,2.949,2.9518,0.2479,0.7214,1.5438,3.6676,5000000
2852,招商财富宝交易型货币A,2019-01-17,0.7481,2.812,2.9152,3.3391,3.2266,0.2753,0.7551,1.5977,3.6679,100
2894,华夏天利货币A,2019-01-17,0.7289,2.832,2.9169,2.9156,2.9044,0.2423,0.7138,1.5547,3.6693,100
4282,博时兴荣货币,2019-01-17,0.8297,3.003,3.0341,3.2346,3.1437,0.2679,0.7034,1.4834,3.6695,100
4399,融通汇财宝货币E,2019-01-17,0.7894,2.95,3.0524,3.2347,3.2559,0.2724,0.7737,1.5892,3.6696,100
789,易方达龙宝货币A,2019-01-17,0.8081,2.994,3.001,3.1378,3.1272,0.2624,0.7662,1.6166,3.6736,100
620010,金元顺安金元宝货币A,2019-01-17,0.7085,2.886,2.9053,3.0007,2.9995,0.2535,0.7385,1.535,3.6796,100
3678,中融现金增利货币A,2019-01-17,0.8025,2.979,2.95,2.9357,2.9238,0.2459,0.7127,1.5704,3.6822,100
675061,西部利得天添富货币A,2019-01-17,0.8773,2.956,3.1864,3.4644,3.4561,0.2945,0.7842,1.6314,3.6823,100
560,诺安天天宝E,2019-01-17,0.7561,2.776,2.8679,3.0787,3.0667,0.258,0.7217,1.5145,3.6828,100
100028,富国天时货币B,2019-01-17,0.7651,2.752,2.8078,3.0697,3.0746,0.2572,0.7493,1.5784,3.686,5000000
217014,招商现金增值货币B,2019-01-17,0.7453,2.664,2.9824,3.7065,3.5187,0.3029,0.7708,1.6279,3.689,10000000
846,中融货币C,2019-01-17,0.7653,2.875,2.8666,3.097,3.0375,0.2572,0.7384,1.5747,3.6899,5000000
4372,金鹰增益货币A,2019-01-17,0.8602,3.108,3.2531,3.3432,3.283,0.2794,0.7821,1.6096,3.6911,100
3253,大成添益交易型货币B,2019-01-17,0.8564,3.188,3.284,3.3339,3.2597,0.2769,0.7462,1.522,3.6912,5000000
2788,融通现金宝货币A,2019-01-17,0.7775,3.071,2.7669,3.0525,3.0408,0.2553,0.7478,1.5901,3.6917,100
2324,南方日添益A,2019-01-17,0.7212,2.675,2.7714,2.8237,2.8399,0.2359,0.7402,1.6701,3.6942,100
665,博时现金收益货币B,2019-01-17,0.804,3.015,3.0482,3.0715,3.0506,0.2565,0.7413,1.5625,3.6963,5000000
730103,方正富邦货币B,2019-01-17,0.7662,2.831,3.2968,3.3147,3.2076,0.273,0.6987,1.5139,3.6967,5000000
2248,新疆前海联合海盈货币B,2019-01-17,0.7724,2.833,2.8835,3.4874,3.5271,0.2884,0.781,1.561,3.6971,5000000
4700,前海联合汇盈货币B,2019-01-17,0.8165,3.126,3.136,3.3746,3.3067,0.28,0.7664,1.603,3.6972,5000000
704,易方达天天增利货币A,2019-01-17,0.7708,2.967,2.9632,2.8184,2.7942,0.2353,0.7221,1.5681,3.6974,100
1909,创金合信货币,2019-01-17,0.6474,4.092,4.5816,3.8089,3.5394,0.307,0.7885,1.5818,3.6979,100
4186,江信增利货币B,2019-01-17,0.8581,2.691,2.7058,3.1917,3.1214,0.2644,0.7396,1.61,3.699,5000000
3535,浦银安盛日日丰货币B,2019-01-17,0.9214,3.551,3.5347,3.6496,3.6326,0.3131,0.8486,1.6665,3.7001,5000000
288101,华夏货币A,2019-01-17,0.7319,3.483,3.3747,3.4706,3.4135,0.2933,0.7639,1.561,3.701,100
4331,太平日日鑫货币B,2019-01-17,1.3641,4.318,3.396,3.2739,3.0725,0.2665,0.7098,1.609,3.7025,5000000
5017,长江优享货币B,2019-01-17,0.7746,2.991,3.0134,3.3723,3.2407,0.2785,0.7489,1.5782,3.703,5000000
4896,鹏华兴鑫宝货币,2019-01-17,0.788,2.953,2.9806,2.9676,2.9815,0.2486,0.7546,1.6243,3.7037,100
1894,泰达宏利活期友货币A,2019-01-17,0.7767,2.902,2.9903,3.22,3.3765,0.2659,0.7703,1.5707,3.704,100
4589,民生加银腾元宝货币B,,,,,,,0.2074,0.6893,1.6243,3.7043,5000000
3479,财通资管鑫管家货币A,2019-01-17,1.1274,3.009,3.0883,3.118,3.1098,0.2648,0.7917,1.6627,3.7062,100
1916,新沃通宝A,2019-01-17,0.8776,2.933,3.1405,3.7229,3.92,0.3119,0.9052,1.6997,3.709,100
569,鹏华增值宝货币,2019-01-17,0.7814,2.87,2.9978,3.0567,3.0227,0.255,0.7786,1.6873,3.7112,100
91022,大成现金增利货币B,2019-01-17,0.8644,3.076,3.0356,3.1231,3.0983,0.261,0.7272,1.5273,3.7212,5000000
161623,融通汇财宝货币B,2019-01-17,0.8034,3.002,3.1042,3.2862,3.3073,0.2767,0.7863,1.6148,3.7216,5000000
709,华安汇财通货币,2019-01-17,0.7743,2.994,2.9889,2.9925,3.0368,0.2507,0.7678,1.6387,3.7227,100
2912,兴业稳天盈货币A,2019-01-17,0.7386,2.795,2.8949,2.9863,2.9638,0.249,0.7181,1.6079,3.7237,100
4120,国富安享货币,2019-01-17,0.7766,2.89,3.0176,3.1686,3.1551,0.2655,0.7789,1.6313,3.7254,100
519510,浦银安盛货币B,2019-01-17,0.8106,3.079,3.1209,3.2983,3.2362,0.2791,0.7573,1.5765,3.728,5000000
3393,建信天添益货币C,2019-01-17,0.6609,2.431,2.5541,3.1727,3.1382,0.2656,0.7686,1.5723,3.7313,5000000
3391,建信天添益货币A,2019-01-17,0.6609,2.431,2.5537,3.1725,3.1381,0.2656,0.7686,1.5723,3.7314,100
917,嘉实快线货币A,2019-01-17,0.7932,3.011,3.0702,3.4144,3.4237,0.2874,0.823,1.6392,3.7354,100
725,大成添利宝货币B,2019-01-17,0.8242,3.074,3.0537,3.047,3.0469,0.2553,0.7353,1.6043,3.7402,5000000
748,广发活期宝货币A,2019-01-17,0.7868,2.994,3.1677,3.4374,3.3856,0.2862,0.7694,1.6092,3.7406,100
3998,泓德添利货币B,2019-01-17,1.8203,2.885,2.7362,3.725,3.5113,0.3041,0.7831,1.6623,3.7422,5000000
543,上银慧财宝货币B,2019-01-17,0.7984,2.946,3.1116,3.4639,3.3853,0.2869,0.7722,1.5906,3.7424,5000000
4863,泰康现金管家货币C,2019-01-17,0.7371,2.242,2.841,3.2705,3.1581,0.2668,0.7692,1.5931,3.7425,10000000
4862,泰康现金管家货币B,2019-01-17,0.7372,2.242,2.8411,3.2709,3.1585,0.2668,0.7692,1.5931,3.7425,5000000
464,嘉实活期宝货币,2019-01-17,0.7817,3.181,3.0987,3.0512,3.0488,0.2556,0.7718,1.6433,3.7445,100
3752,工银如意货币A,2019-01-17,0.7671,2.874,3.0749,3.0977,3.0284,0.2552,0.74,1.6159,3.7478,100
128011,国投瑞银货币B,2019-01-17,0.7549,3.17,3.0505,3.0633,3.0273,0.2559,0.7285,1.6244,3.7499,5000000
4968,红土创新货币B,2019-01-17,0.5839,2.409,2.8073,3.8341,3.7018,0.3181,0.7571,1.576,3.7536,5000000
4368,前海开源聚财宝A,2019-01-17,0.6971,3.158,3.1142,3.7664,3.7683,0.3034,0.7883,1.6291,3.7571,100
4984,鹏扬现金通利货币B,2019-01-17,0.7803,2.832,2.8842,3.0114,2.974,0.2505,0.7354,1.564,3.7578,5000000
4770,海富通添益货币A,2019-01-17,0.743,2.724,3.6016,3.5209,3.3831,0.2902,0.7443,1.5837,3.7593,100
3481,光大耀钱包货币B,2019-01-17,0.8591,3.163,2.9809,3.3719,3.289,0.2781,0.7743,1.6429,3.7608,5000000
1931,国寿安保鑫钱包货币,2019-01-17,0.8175,3.178,3.3949,3.3802,3.2915,0.28,0.7844,1.6736,3.7639,100
202307,南方收益宝货币A,2019-01-17,0.8085,3.051,3.0487,2.9901,2.9669,0.2492,0.7841,1.6679,3.7669,100
4971,南方天天宝货币B,2019-01-17,0.7557,2.742,2.9458,3.1656,3.122,0.2626,0.7605,1.7329,3.7712,100
482002,工银货币,2019-01-17,0.8086,3.176,3.4385,3.2427,3.183,0.2692,0.7953,1.7011,3.7725,100
270014,广发货币B,2019-01-17,0.7816,2.833,2.9065,3.0493,3.0555,0.2607,0.7462,1.5986,3.7726,5000000
588,招商招钱宝货币A,2019-01-17,0.7955,2.936,3.0574,3.1416,3.0907,0.2613,0.7585,1.6529,3.7754,100
647,易方达财富快线货币A,2019-01-17,0.8196,3.061,3.0949,3.1112,3.072,0.259,0.7644,1.655,3.7779,100
3246,华泰柏瑞天添宝货币A,2019-01-17,0.8015,3.071,3.2804,3.3393,3.276,0.2772,0.7667,1.6331,3.7824,100
2679,工银安盈货币A,2019-01-17,0.6549,2.422,2.4194,2.9235,2.8377,0.2459,0.6588,1.5102,3.7864,100
1391,天弘弘运宝货币B,2019-01-17,0.7053,2.929,2.8861,2.9067,2.8892,0.2443,0.7538,1.6034,3.7868,5000000
332,中加货币C,2019-01-17,0.7896,2.86,3.1781,3.6973,3.5357,0.3089,0.7807,1.5795,3.7923,5000000
678,华宝现金宝货币E,2019-01-17,0.7774,2.891,3.0231,3.2331,3.582,0.2681,0.796,1.657,3.7924,100
240007,华宝现金宝货币B,2019-01-17,0.7776,2.891,3.0234,3.2332,3.5821,0.2681,0.796,1.657,3.7924,5000000
4449,上银慧增利货币,2019-01-17,0.8326,3.051,3.1758,3.3305,3.2771,0.2815,0.7739,1.6296,3.7949,100
1992,农银天天利货币B,2019-01-17,0.7785,2.825,3.3658,4.0753,3.8343,0.3303,0.8273,1.7168,3.7952,5000000
3003,华夏现金增利货币A/E,2019-01-17,0.7718,3.302,3.538,3.3555,3.285,0.279,0.7658,1.5314,3.7956,100
40039,华安日日鑫货币B,2019-01-17,0.8144,3.069,3.1099,3.0819,3.0739,0.2578,0.7703,1.6219,3.7986,5000000
1401,德邦如意货币,2019-01-17,0.7485,3.342,3.1691,3.2965,3.3297,0.2801,0.8002,1.6924,3.8006,100
5134,长信长金通货币A,2019-01-17,0.9166,2.438,2.6983,2.8855,2.8795,0.2614,0.7323,1.6254,3.8058,100
540,国金金腾通货币A,2019-01-17,0.7738,2.94,2.6641,2.9901,3.0072,0.2493,0.8006,1.7178,3.808,100
1233,嘉合货币B,2019-01-17,0.7277,2.622,2.6809,3.9895,3.7473,0.3221,0.7941,1.6117,3.811,5000000
202302,南方现金增利货币B,2019-01-17,0.7884,2.972,3.0178,3.0877,3.0865,0.263,0.758,1.6346,3.8143,10000000
2889,交银天利宝货币A,2019-01-17,0.7089,2.629,2.8467,3.3112,3.2145,0.2737,0.7732,1.6551,3.8169,100
908,农银红利日结货币B,2019-01-17,0.8505,3.181,3.2029,3.2436,3.2079,0.27,0.7845,1.6723,3.8185,5000000
3034,平安交易型货币A,2019-01-17,0.8401,2.947,2.9835,3.2391,3.2406,0.2748,0.82,1.6562,3.822,100
476,广发天天利货币B,2019-01-17,0.8191,3.108,3.1758,3.2232,3.2163,0.2693,0.7484,1.5981,3.8244,5000000
70088,嘉实货币B,2019-01-17,0.8521,3.189,3.2862,3.2453,3.2287,0.2715,0.805,1.6968,3.8254,5000000
3402,安信活期宝货币A,2019-01-17,0.8087,3.026,3.072,3.0594,3.1133,0.2601,0.788,1.6688,3.8254,100
700,泰达宏利货币B,2019-01-17,0.4083,2.311,2.1717,4.5801,4.4724,0.3997,0.8706,1.6476,3.826,3000000
903,新华活期添利货币A,2019-01-17,0.8143,3.037,3.1591,3.1296,3.1044,0.2626,0.7762,1.693,3.8276,100
677,工银现金货币,2019-01-17,0.7933,3.181,3.3985,3.3308,3.2509,0.2753,0.8021,1.7061,3.8295,100
3712,泰达宏利京元宝货币B,2019-01-17,0.8273,3.104,3.2285,3.5054,3.4737,0.2956,0.7932,1.6245,3.8297,5000000
1982,富国收益宝交易型货币B,2019-01-17,0.7914,2.827,2.8262,3.0949,3.0965,0.2595,0.7541,1.6202,3.8312,100
4262,招商招禧宝货币B,2019-01-17,0.8121,3.156,3.4155,3.5882,3.4403,0.2943,0.8139,1.714,3.8323,5000000
730,博时现金宝货币A,2019-01-17,0.8595,3.225,3.2522,3.1821,3.24,0.2657,0.7839,1.6736,3.8349,100
600,汇添富和聚宝货币,2019-01-17,0.8035,3,3.1086,3.1533,3.148,0.2642,0.7798,1.6665,3.837,100
4369,前海开源聚财宝B,2019-01-17,0.7226,3.253,3.2063,3.8582,3.8596,0.3108,0.811,1.6752,3.8501,5000000
5150,红土创新优淳货币A,2019-01-17,0.696,2.434,4.1855,4.3457,4.0736,0.357,0.7934,1.6243,3.8541,100
660107,农银货币B,2019-01-17,0.7538,3.198,3.2993,3.4141,3.3952,0.2873,0.8116,1.7097,3.8587,5000000
1078,华夏现金宝货币B,2019-01-17,0.8133,3.115,3.2218,3.1811,3.1713,0.267,0.8216,1.6702,3.86,5000000
3465,平安金管家货币,2019-01-17,0.95,3.379,3.5697,3.3575,3.3829,0.2809,0.8326,1.7556,3.8626,100
2195,中银机构现金管理货币,2019-01-17,0.7327,2.782,2.9426,3.4866,3.4665,0.2892,0.7769,1.6419,3.8631,1000
1478,泰康薪意保货币B,2019-01-17,0.7781,3.029,3.3409,3.5079,3.4078,0.2891,0.7847,1.6662,3.8636,5000000
519517,汇添富货币B,2019-01-17,0.8382,3.087,3.1578,3.3794,3.3567,0.2827,0.8066,1.6995,3.8644,5000000
2883,华润元大现金通货币A,2019-01-17,0.6937,2.817,2.9506,2.9363,2.878,0.2438,0.7372,1.607,3.8692,100
4717,万家天添宝货币A,2019-01-17,0.8178,3.015,3.4848,3.2821,3.2542,0.274,0.8016,1.7173,3.8703,100
4078,金信民发货币B,2019-01-17,0.7859,2.829,2.9738,4.2545,3.9728,0.3436,0.8411,1.6972,3.8704,5000000
392002,中海货币B,2019-01-17,0.7118,2.567,2.6684,3.5905,3.5375,0.2937,0.822,1.6596,3.873,5000000
690210,民生加银现金增利货币B,2019-01-17,0.7764,2.821,2.9393,3.4657,3.3366,0.2852,0.7813,1.6958,3.8731,5000000
605,银华多利宝货币B,2019-01-17,0.8222,3.09,3.1504,3.3569,3.3042,0.2789,0.7783,1.6813,3.8737,5000000
4097,农银汇理日日鑫交易型货币A,2019-01-17,0.8251,3.406,3.36,3.3778,3.3156,0.2801,0.7977,1.7034,3.8752,100
759,平安财富宝货币,2019-01-17,0.8744,3.345,3.3011,3.1784,3.2084,0.267,0.7929,1.7095,3.8886,100
4373,金鹰增益货币B,2019-01-17,0.913,3.306,3.4499,3.5406,3.4809,0.2958,0.8306,1.7136,3.8939,5000000
3022,建信现金添益货币A,2019-01-17,0.84,3.144,3.2839,3.3325,3.3063,0.2779,0.8008,1.6993,3.8951,100
3473,南方天天利货币A,2019-01-17,0.8514,3.153,3.1657,3.1966,3.1981,0.2679,0.7933,1.719,3.8961,100
860,银华惠增利货币,2019-01-17,0.8339,3.061,3.2882,3.6071,3.5189,0.2991,0.7883,1.6889,3.8973,100
4217,兴业安润货币B,2019-01-17,0.8425,3.102,3.1527,3.2196,3.206,0.2692,0.7791,1.6811,3.9008,5000000
699,中银薪钱包货币,2019-01-17,0.829,3.138,3.261,3.1533,3.1528,0.2643,0.7954,1.7071,3.9042,100
10,易方达天天理财货币B,2019-01-17,0.862,3.236,3.3367,3.3035,3.261,0.2748,0.8072,1.722,3.9051,5000000
1386,天弘弘运宝货币A,2019-01-17,0.7736,3.186,3.088,3.0591,3.0315,0.2565,0.7829,1.6585,3.9056,100
340005,兴全货币A,2019-01-17,0.7624,3.041,3.05,3.0875,3.0846,0.2631,0.7755,1.6652,3.9093,100
533,永赢货币,2019-01-17,0.8145,3.238,3.2762,3.9583,3.8018,0.329,0.8631,1.7883,3.912,100
2183,广发天天红货币B,2019-01-17,0.8162,3.122,3.1853,3.3057,3.3041,0.2774,0.7948,1.6862,3.9132,100
3185,建信货币B,2019-01-17,0.7757,3.785,3.5003,3.696,3.5528,0.3031,0.8131,1.6974,3.9154,5000000
2895,华夏天利货币B,2019-01-17,0.7937,3.077,3.1616,3.1604,3.1488,0.2625,0.7729,1.6759,3.9165,5000000
210013,金鹰货币B,2019-01-17,0.9429,3.215,3.4208,3.7786,3.6997,0.3271,0.8299,1.7107,3.9167,5000000
493,南方现金通货币A,2019-01-17,0.8434,3.103,3.1649,3.1514,3.177,0.2667,0.8021,1.7339,3.9224,100
790,易方达龙宝货币B,2019-01-17,0.8738,3.241,3.2502,3.3863,3.3756,0.2828,0.8272,1.7399,3.9229,5000000
620011,金元顺安金元宝货币B,2019-01-17,0.7744,3.127,3.1431,3.2385,3.2379,0.2738,0.7999,1.6589,3.9293,5000000
638,富国富钱包货币,2019-01-17,0.7957,3.006,3.0315,3.0845,3.0737,0.2587,0.7731,1.7014,3.9302,100
3537,招商招利宝货币A,2019-01-17,0.8175,3.099,3.1963,3.5277,3.4323,0.2918,0.8044,1.7198,3.9303,100
675062,西部利得天添富货币B,2019-01-17,0.9456,3.195,3.4202,3.7048,3.6984,0.3143,0.8447,1.7544,3.9308,5000000
3679,中融现金增利货币C,2019-01-17,0.8678,3.228,3.1991,3.1847,3.1728,0.2665,0.774,1.6939,3.9322,5000000
1096,国寿安保聚宝盆货币,2019-01-17,0.8211,3.061,3.2448,3.1266,3.1336,0.2616,0.8035,1.7279,3.9368,100
1826,国寿安保增金宝货币,2019-01-17,0.7878,2.92,3.0597,3.2321,3.2913,0.2786,0.8518,1.8016,3.9371,100
3281,广发活期宝货币B,2019-01-17,0.8387,3.19,3.3638,3.6339,3.5821,0.3024,0.8178,1.7069,3.9381,5000000
4398,融通现金宝货币B,2019-01-17,0.8432,3.319,3.0144,3.2997,3.2882,0.2757,0.8087,1.7133,3.9414,100
705,易方达天天增利货币B,2019-01-17,0.8369,3.215,3.2114,3.0663,3.0421,0.2558,0.7832,1.6913,3.9468,5000000
5135,长信长金通货币B,2019-01-17,0.9553,2.584,2.8414,3.0192,3.0155,0.2733,0.768,1.6975,3.9519,150000000
1895,泰达宏利活期友货币B,2019-01-17,0.8423,3.15,3.2391,3.4685,3.6249,0.2863,0.8314,1.6942,3.9531,5000000
3480,财通资管鑫管家货币B,2019-01-17,1.1932,3.256,3.331,3.3654,3.358,0.2853,0.8527,1.7859,3.9555,5000000
2302,新沃通宝B,2019-01-17,0.9439,3.181,3.3892,3.9723,4.1697,0.3323,0.9663,1.8232,3.9588,5000000
856,上投摩根天添盈货币B,,,,,,,0.2902,0.9473,1.9787,3.9644,5000000
1234,国金众赢货币,2019-01-17,0.872,3.13,3.152,3.6206,3.8289,0.3086,0.8619,1.8057,3.9667,100
5202,兴业稳天盈货币B,2019-01-17,0.8035,3.041,3.1418,3.2338,3.2113,0.2695,0.7791,1.731,3.9729,3000000
