p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,strat_money
4060,博时兴盛货币,2019-01-17,0.6431,2.413,2.6319,3.5792,3.5489,0.2999,0.658,1.2027,3.1733,100
519589,交银货币B,2019-01-17,0.7012,2.471,2.6038,2.838,2.7753,0.2388,0.6109,1.2963,3.1776,5000000
4072,金元顺安金通宝货币A,2019-01-17,0.6529,2.348,2.4821,2.8934,2.7776,0.2372,0.6258,1.291,3.1789,100
166014,中欧货币A,2019-01-17,0.6155,2.202,2.3751,2.6917,2.5915,0.2232,0.6102,1.3016,3.1822,100
701,景顺长城景丰货币A,2019-01-17,0.7393,3.043,2.9723,2.9421,2.8425,0.2454,0.6704,1.3472,3.1849,100
424,长盛添利宝货币A,2019-01-17,0.4096,2.113,2.4427,2.6529,2.7403,0.2309,0.6313,1.32,3.1891,100
541011,汇丰晋信货币B,2019-01-17,0.6383,3.496,2.5931,3.064,3.1212,0.2549,0.7028,1.3855,3.2013,5000000
150005,银河银富货币A,2019-01-17,0.7194,3.036,2.9587,3.1753,3.1162,0.2637,0.7158,1.3331,3.2014,100
324,华润元大现金收益货币A,2019-01-17,0.6592,2.442,2.4514,2.906,2.7387,0.2427,0.5672,1.1978,3.2055,100
161608,融通易支付货币A,2019-01-17,0.7253,2.802,2.8749,2.9674,2.9415,0.2489,0.6823,1.4078,3.2068,100
110016,易方达货币B,2019-01-17,0.5777,2.504,2.589,3.1699,3.137,0.2672,0.6907,1.4184,3.2069,10000000
4493,华泰保兴货币A,2019-01-17,0.6211,2.387,2.6745,3.027,2.889,0.261,0.6565,1.3195,3.2112,100
3398,太平日日金货币A,2019-01-17,0.6159,2.401,2.5633,2.8083,2.7411,0.2344,0.6428,1.3581,3.2159,100
410002,华富货币A,2019-01-17,0.6281,2.24,2.4254,3.0354,2.9191,0.251,0.664,1.354,3.2172,100
3478,民生加银腾元宝货币A,2019-01-17,0.613,2.282,2.2664,2.8611,2.9115,0.242,0.6499,1.3477,3.2176,100
2077,浙商日添利A,2019-01-17,1.007,2.407,2.6135,2.962,3.2565,0.2432,0.6606,1.3441,3.2199,100
460006,华泰柏瑞货币A,2019-01-17,0.6073,2.18,2.4137,3.3286,3.1679,0.2724,0.6644,1.3132,3.2202,100
3585,先锋现金宝货币,2019-01-17,0.7264,2.703,2.8218,2.9447,2.8718,0.2411,0.6502,1.3113,3.2205,100
180008,银华货币A,2019-01-17,0.7646,2.954,2.9533,2.9897,2.9502,0.25,0.6593,1.3804,3.2272,100
4849,信诚货币E,2019-01-17,0.5193,1.831,2.4943,2.9165,2.7983,0.24,0.6276,1.3308,3.2273,100
160606,鹏华货币A,2019-01-17,0.6679,2.476,2.4614,2.829,2.7425,0.2374,0.6487,1.3317,3.2412,100
2957,财通财通宝货币A,2019-01-17,0.702,2.684,2.782,3.0418,2.9423,0.2509,0.668,1.4132,3.2434,100
4210,前海开源货币E,2019-01-17,0.5514,2.248,2.2307,2.5353,2.6155,0.2219,0.6299,1.353,3.2434,100
1870,前海开源货币A,2019-01-17,0.5452,2.247,2.2296,2.5355,2.62,0.2221,0.63,1.353,3.2434,100
400005,东方金账簿货币A,2019-01-17,0.432,1.623,1.9081,2.7546,2.7596,0.2313,0.6389,1.3175,3.2436,100
1175,山证日日添利货币A,2019-01-17,0.7641,2.89,2.8612,2.9729,2.9667,0.249,0.7236,1.4532,3.2463,100
310339,申万收益宝货币B,2019-01-17,0.7238,2.703,2.8142,3.2778,3.1577,0.2707,0.6756,1.344,3.2473,5000000
550010,信诚货币A,2019-01-17,0.5181,1.861,2.5101,2.9244,2.8044,0.2407,0.6282,1.3316,3.2477,100
253050,国联安货币A,2019-01-17,0.6782,2.63,2.6482,3.0541,2.9546,0.2529,0.6567,1.324,3.252,100
675072,西部利得天添金货币B,2019-01-17,0.8501,2.962,3.5419,4.0645,4.1187,0.3406,0.6277,1.3014,3.2524,5000000
682,信达澳银慧管家C,2019-01-17,0.7132,2.678,2.7393,3.2322,3.1147,0.2668,0.6728,1.3476,3.2545,5000000
981,北信瑞丰现金添利A,2019-01-17,1.285,2.56,2.4905,2.4961,2.4668,0.2079,0.7296,1.3838,3.2644,100
4173,嘉实增益宝货币,2019-01-17,0.7149,2.708,2.8295,2.7195,2.6875,0.2259,0.6575,1.3586,3.2645,100
1926,兴业鑫天盈货币B,2019-01-17,0.6641,2.463,2.5666,2.7219,2.7099,0.2255,0.6534,1.3441,3.2648,5000000
519567,浦银安盛日日盈货币B,2019-01-17,0.6374,2.377,2.571,2.9123,2.8787,0.2447,0.668,1.3962,3.28,5000000
3363,长江乐享货币A,2019-01-17,0.9443,2.596,2.5883,2.7252,2.6769,0.23,0.6649,1.4118,3.2812,100
4474,前海开源尊享货币B,2019-01-17,,,,,,0.3117,0.653,1.3345,3.2813,5000000
380,景顺长城景益货币A,2019-01-17,0.7658,2.827,2.8532,2.8715,2.8575,0.2411,0.6908,1.4673,3.2838,100
483,鑫元货币A,2019-01-17,0.5392,1.967,2.1338,3.4954,3.286,0.2844,0.7004,1.3986,3.2851,100
583101,东吴货币B,2019-01-17,0.6992,2.625,2.7745,2.7689,2.7061,0.2298,0.7267,1.412,3.2935,5000000
1697,大成恒丰宝货币A,2019-01-17,0.6516,2.545,2.4705,2.7826,2.679,0.2289,0.6056,1.3521,3.2939,100
580,中邮货币B,2019-01-17,0.6562,2.61,2.5377,2.9404,2.8307,0.254,0.6643,1.321,3.2951,5000000
4985,博时合晶货币,2019-01-17,0.6773,2.419,2.5569,2.4956,2.5887,0.2088,0.5909,1.2979,3.2959,100
4151,先锋日添利A,2019-01-17,0.6785,2.58,2.6482,2.9579,3.1462,0.2691,0.6852,1.3534,3.2968,100
1842,九泰日添金货币A,2019-01-17,0.5829,2.158,2.3648,2.7509,2.711,0.2319,0.619,1.388,3.2979,100
4285,华富天盈货币A,2019-01-17,1.9595,3.484,3.3051,3.4317,3.1654,0.2756,0.7364,1.411,3.2979,100
519511,万家日日薪货币A,2019-01-17,0.5104,2.255,2.9469,3.1951,3.007,0.2647,0.6329,1.384,3.3016,100
626,大成丰财宝货币A,2019-01-17,0.691,2.565,2.6488,3.2602,3.1239,0.2681,0.674,1.3733,3.3056,100
675031,西部利得天添鑫货币A,2019-01-17,0.677,2.615,2.9242,3.2599,3.1796,0.2694,0.6878,1.4155,3.3078,100
210,光大现金宝货币A,2019-01-17,0.6629,2.551,2.6497,3.2133,3.1333,0.2696,0.69,1.4037,3.3102,100
41003,华安现金富利货币B,2019-01-17,0.6776,2.439,2.5063,2.969,2.8663,0.2484,0.6574,1.3582,3.3107,5000000
3316,中银证券现金管家货币A,2019-01-17,0.7062,2.646,2.7331,2.8923,2.76,0.2375,0.6573,1.4244,3.3194,100
740,兴银货币B,2019-01-17,0.7012,2.502,2.7426,3.0795,2.988,0.2542,0.6767,1.409,3.3232,5000000
5056,东方红货币A,2019-01-17,0.7336,2.745,3.082,3.3696,3.3039,0.2803,0.6815,1.3653,3.3272,100
2260,中信建投添鑫宝,2019-01-17,0.6676,2.531,2.6241,2.8389,2.8663,0.2412,0.6931,1.5108,3.3306,100
90005,大成货币A,2019-01-17,0.6582,2.396,2.5762,3.1222,3.1241,0.2545,0.6635,1.4106,3.3312,100
722,兴业货币B,2019-01-17,0.7727,2.204,2.2751,3.1412,3.002,0.2568,0.6878,1.4138,3.3319,5000000
713,上投摩根天添宝货币B,2019-01-17,0.6689,2.472,2.5982,3.098,3.0092,0.2579,0.6669,1.3785,3.3369,5000000
2318,鹏华添利交易型货币A,2019-01-17,0.6466,2.367,2.5021,2.9388,2.8972,0.2463,0.6819,1.4,3.3379,100
519998,长信利息收益货币B,2019-01-17,0.885,2.711,3.1715,2.976,2.8944,0.2626,0.6979,1.4054,3.3396,5000000
785,华融现金增利货币A,2019-01-17,0.7138,2.646,2.7151,2.8726,2.9559,0.2402,0.6538,1.3297,3.3438,100
710502,富安达现金通货币B,2019-01-17,1.6747,3.049,3.2388,3.4048,3.2228,0.2778,0.7255,1.4239,3.3438,5000000
3874,浙商日添金货币A,2019-01-17,0.7048,2.641,2.6672,2.7966,2.7531,0.2331,0.6443,1.4012,3.3439,100
506,国寿安保货币B,2019-01-17,0.9214,3.147,3.3561,3.367,3.1787,0.2745,0.7008,1.4305,3.347,5000000
260202,景顺货币B,2019-01-17,0.6814,2.811,2.8718,3.0293,2.9291,0.2597,0.725,1.4802,3.351,5000000
434,新华壹诺宝货币A,2019-01-17,0.6808,3.673,3.1519,2.9057,2.813,0.2406,0.6914,1.4274,3.3546,100
