p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,start_money
000543,上银慧财宝货币B,2019-01-20,0.7973,2.949,2.9824,3.4211,3.3781,0.2866,0.7723,1.5887,3.7381,5000000.0
004078,金信民发货币B,2019-01-19,0.7968,2.876,2.8592,4.2413,3.9802,0.3437,0.8282,1.6943,3.8661,5000000.0
001982,富国收益宝交易型货币B,2019-01-18,0.7963,2.848,2.835,3.0844,3.1003,0.2593,0.7543,1.6182,3.8269,100.0
000748,广发活期宝货币A,2019-01-19,0.7962,2.981,3.0766,3.3805,3.3741,0.2847,0.7698,1.6067,3.7358,100.0
003402,安信活期宝货币A,2019-01-18,0.7961,3.01,3.0606,3.0604,3.1146,0.2553,0.7879,1.6645,3.8214,100.0
519508,万家货币A,2019-01-18,0.7952,2.676,2.7255,3.0503,3.0887,0.2661,0.7217,1.5397,3.4142,100.0
000678,华宝现金宝货币E,2019-01-18,0.794,2.899,2.9945,3.2323,3.5801,0.2676,0.796,1.6549,3.788,100.0
240007,华宝现金宝货币B,2019-01-18,0.794,2.9,2.9947,3.2324,3.5801,0.2676,0.796,1.6549,3.7881,5000000.0
000588,招商招钱宝货币A,2019-01-19,0.7939,2.939,2.997,3.1414,3.0951,0.2614,0.7582,1.6501,3.7715,100.0
002248,新疆前海联合海盈货币B,2019-01-19,0.7939,2.869,2.8631,3.4761,3.3934,0.2881,0.7813,1.5591,3.6926,5000000.0
000638,富国富钱包货币,2019-01-20,0.7937,3.039,3.0394,3.0929,3.0855,0.2598,0.7741,1.6979,3.9258,100.0
001894,泰达宏利活期友货币A,2019-01-18,0.7932,2.908,2.9742,3.107,3.1463,0.2664,0.7703,1.5694,3.7028,100.0
000677,工银现金货币,2019-01-19,0.7929,3.122,3.287,3.3257,3.2488,0.2757,0.8011,1.7017,3.8256,100.0
003252,大成添益交易型货币A,2019-01-18,0.7914,2.936,3.0107,3.0858,3.0112,0.257,0.6864,1.4008,3.4407,100.0
005057,东方红货币B,2019-01-20,0.7911,3.001,3.1502,3.5376,3.5189,0.301,0.7441,1.4878,3.5711,5000000.0
004399,融通汇财宝货币E,2019-01-19,0.791,2.512,3.0061,3.2021,3.2337,0.2712,0.7739,1.5874,3.6656,100.0
161615,融通易支付货币B,2019-01-19,0.7907,2.998,3.0801,3.1811,3.1815,0.2684,0.7423,1.5269,3.4495,5000000.0
004398,融通现金宝货币B,2019-01-19,0.7904,3.338,3.0597,3.2719,3.2711,0.2751,0.8081,1.7098,3.936,100.0
003515,国泰利是宝货币,2019-01-18,0.7903,2.855,2.8589,2.8886,2.8927,0.2432,0.7106,1.5262,3.6472,100.0
000789,易方达龙宝货币A,2019-01-19,0.7899,2.979,2.9926,3.1248,3.1193,0.262,0.7662,1.6153,3.6701,100.0
000726,大成添利宝货币E,2019-01-18,0.7898,2.924,2.9115,2.9,2.9006,0.2434,0.6999,1.5298,3.5906,100.0
000917,嘉实快线货币A,2019-01-20,0.7897,2.994,3.0176,3.3475,3.3966,0.2839,0.8238,1.6376,3.7309,100.0
003034,平安交易型货币A,2019-01-19,0.7886,2.955,2.9918,3.2299,3.2407,0.2691,0.8209,1.6542,3.8173,100.0
004939,中欧滚钱宝货币C,2019-01-18,0.7872,2.929,2.9658,2.9792,2.9582,0.2491,0.7319,1.5668,3.6589,100.0
001992,农银天天利货币B,2019-01-18,0.7851,2.836,3.2092,3.7273,3.8355,0.3304,0.8265,1.7144,3.7916,5000000.0
002760,东兴安盈宝B,2019-01-18,0.7847,2.92,3.0201,3.2629,3.1864,0.2771,0.7416,1.5561,3.6147,5000000.0
004216,兴业安润货币A,2019-01-18,0.7832,2.861,2.9023,2.9731,2.9615,0.2489,0.7188,1.5556,3.6477,100.0
004984,鹏扬现金通利货币B,2019-01-18,0.7831,2.846,2.8757,3.0137,2.9689,0.2496,0.7355,1.5617,3.7525,5000000.0
000464,嘉实活期宝货币,2019-01-20,0.7819,3.137,3.0754,3.0227,3.0373,0.2553,0.771,1.6403,3.7406,100.0
003712,泰达宏利京元宝货币B,2019-01-18,0.7815,3.071,3.1821,3.4744,3.476,0.2949,0.7957,1.6214,3.8242,5000000.0
001386,天弘弘运宝货币A,2019-01-19,0.7809,3.212,3.1381,3.0483,3.0368,0.2551,0.7847,1.6573,3.9025,100.0
004896,鹏华兴鑫宝货币,2019-01-18,0.7798,2.855,2.9665,2.966,2.9754,0.2484,0.7547,1.6222,3.6996,100.0
