p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,start_money
004473,前海开源尊享货币A,2019-01-21,,,,,,0.2702,0.627,1.2285,3.062,1000.0
004474,前海开源尊享货币B,2019-01-21,,,,,,0.29,0.6891,1.3478,3.2883,5000000.0
001895,泰达宏利活期友货币B,2019-01-21,4.9839,5.413,4.2882,3.9081,3.8426,0.3207,0.8728,1.7428,3.9756,5000000.0
001894,泰达宏利活期友货币A,2019-01-21,4.9179,5.159,4.0369,3.6584,3.5937,0.3002,0.8116,1.6185,3.7265,100.0
070029,嘉实安心货币市场B,2019-01-21,2.2359,2.96,2.6203,2.9354,2.9447,0.2535,0.6281,1.3772,3.1708,5000000.0
070028,嘉实安心货币市场A,2019-01-21,2.1707,2.719,2.3781,2.6955,2.7046,0.233,0.567,1.2546,2.9229,100.0
003364,长江乐享货币B,2019-01-21,1.8241,3.424,3.1132,3.0938,3.0324,0.2607,0.7359,1.5476,3.5262,5000000.0
003363,长江乐享货币A,2019-01-21,1.7584,3.191,2.8767,2.8556,2.7936,0.2403,0.6745,1.424,3.2777,100.0
400006,东方金账簿货币B,2019-01-21,1.7367,2.693,2.1937,3.0236,2.96,0.2548,0.7064,1.4477,3.4788,5000000.0
400005,东方金账簿货币A,2019-01-21,1.671,2.453,1.9533,2.7824,2.719,0.2343,0.6453,1.3242,3.2294,100.0
005151,红土创新优淳货币B,2019-01-21,1.6698,3.781,3.5923,4.6678,4.5254,0.385,0.8715,1.7537,4.0996,5000000.0
004369,前海开源聚财宝B,2019-01-21,1.6433,4.051,3.6208,3.6455,3.8198,0.3007,0.8349,1.6997,3.8469,5000000.0
004368,前海开源聚财宝A,2019-01-21,1.6183,3.956,3.5275,3.554,3.7285,0.2931,0.8121,1.6533,3.7538,100.0
005150,红土创新优淳货币A,2019-01-21,1.602,3.514,3.3584,4.4278,4.2834,0.3654,0.8112,1.6308,3.8518,100.0
004417,兴全货币B,2019-01-21,1.5701,3.233,3.2703,3.3153,3.3489,0.284,0.8431,1.794,4.1419,5000000.0
